name,detector,tracker,time,detected_objects
casabee2,findContours,boosting,8.580602169036865,16
casabee2,findContours,mil,39.17690992355347,16
casabee2,findContours,medianflow,0.7160248756408691,16
casabee2,findContours,mosse,0.061128854751586914,0
casabee2,findContours_holes,csrt,14.338485717773438,16
casabee2,findContours_holes,kcf,0.28134632110595703,16
casabee2,findContours_holes,boosting,8.603748083114624,16
casabee2,findContours_holes,mil,39.41984510421753,16
casabee2,findContours_holes,medianflow,0.7089605331420898,16
casabee2,findContours_holes,mosse,0.05915188789367676,0
casabee3,Hough,csrt,12.033612966537476,13
casabee3,Hough,kcf,0.2595949172973633,13
casabee3,Hough,boosting,6.795605897903442,13
casabee3,Hough,mil,32.71467709541321,13
casabee3,Hough,medianflow,0.5920872688293457,13
casabee3,Hough,mosse,0.05830073356628418,0
casabee3,findContours,csrt,13.536683559417725,13
casabee3,findContours,kcf,0.2802278995513916,13
casabee3,findContours,boosting,6.942542791366577,13
casabee3,findContours,mil,33.143006801605225,13
casabee3,findContours,medianflow,0.5549764633178711,13
casabee3,findContours,mosse,0.05729246139526367,0
casabee3,findContours_holes,csrt,11.394076824188232,13
casabee3,findContours_holes,kcf,0.23475337028503418,13
casabee3,findContours_holes,boosting,6.793120622634888,13
casabee3,findContours_holes,mil,33.05958271026611,13
casabee3,findContours_holes,medianflow,0.5637643337249756,13
casabee3,findContours_holes,mosse,0.05551624298095703,0
casabee4,Hough,csrt,8.17681622505188,9
casabee4,Hough,kcf,0.1889197826385498,9
casabee4,Hough,boosting,4.850799322128296,9
casabee4,Hough,mil,22.34519648551941,9
casabee4,Hough,medianflow,0.4303550720214844,9
casabee4,Hough,mosse,0.05416297912597656,0
casabee4,findContours,csrt,16.364766359329224,13
casabee4,findContours,kcf,0.30551576614379883,13
casabee4,findContours,boosting,7.077000379562378,13
casabee4,findContours,mil,32.23996329307556,13
casabee4,findContours,medianflow,0.6188921928405762,13
casabee4,findContours,mosse,0.05797886848449707,0
casabee4,findContours_holes,csrt,12.232306957244873,13
casabee4,findContours_holes,kcf,0.23595666885375977,13
casabee4,findContours_holes,boosting,6.878471374511719,13
casabee4,findContours_holes,mil,32.50898718833923,13
casabee4,findContours_holes,medianflow,0.5820701122283936,13
casabee4,findContours_holes,mosse,0.05537819862365723,0
casabee5,Hough,csrt,10.591575622558594,11
casabee5,Hough,kcf,0.24853754043579102,11
casabee5,Hough,boosting,5.8757336139678955,11
casabee5,Hough,mil,28.34728717803955,11
casabee5,Hough,medianflow,0.5196192264556885,11
casabee5,Hough,mosse,0.05602288246154785,0
casabee5,findContours,csrt,12.712235450744629,12
casabee5,findContours,kcf,0.28038549423217773,12
casabee5,findContours,boosting,6.636181831359863,12
casabee5,findContours,mil,30.934022665023804,12
casabee5,findContours,medianflow,0.5556676387786865,12
casabee5,findContours,mosse,0.055876970291137695,0
casabee5,findContours_holes,csrt,10.763857364654541,12
casabee5,findContours_holes,kcf,0.22173810005187988,12
casabee5,findContours_holes,boosting,6.198268175125122,12
casabee5,findContours_holes,mil,31.091227531433105,12
casabee5,findContours_holes,medianflow,0.5483517646789551,12
casabee5,findContours_holes,mosse,0.05431413650512695,0
circles,Hough,csrt,1.4475889205932617,1
circles,Hough,kcf,0.04725790023803711,1
circles,Hough,boosting,0.6187191009521484,1
circles,Hough,mil,2.2484843730926514,1
circles,Hough,medianflow,0.04584646224975586,1
circles,Hough,mosse,0.013383865356445312,0
circles,findContours,csrt,3.515927791595459,3
circles,findContours,kcf,0.09876465797424316,3
circles,findContours,boosting,1.8565292358398438,3
circles,findContours,mil,5.930617094039917,3
circles,findContours,medianflow,0.09750056266784668,0
circles,findContours,mosse,0.01709437370300293,0
circles,findContours_holes,csrt,4.234861373901367,3
circles,findContours_holes,kcf,0.06010007858276367,0
circles,findContours_holes,boosting,1.731846570968628,3
circles,findContours_holes,mil,6.1870434284210205,3
circles,findContours_holes,medianflow,0.09742116928100586,3
circles,findContours_holes,mosse,0.014194488525390625,0
circles_and_squares,Hough,csrt,1.0000879764556885,1
circles_and_squares,Hough,kcf,0.029737234115600586,1
circles_and_squares,Hough,boosting,0.6236937046051025,1
circles_and_squares,Hough,mil,2.401482343673706,1
circles_and_squares,Hough,medianflow,0.04838061332702637,1
circles_and_squares,Hough,mosse,0.011319875717163086,0
circles_and_squares,findContours,csrt,2.73290753364563,2
