name,detector,tracker,time,detected_objects
casabee2,findContours,mil,39.17275905609131,16
casabee2,findContours,medianflow,0.654132604598999,14
casabee2,findContours,mosse,0.06327462196350098,0
casabee2,findContours_holes,csrt,14.467440605163574,16
casabee2,findContours_holes,kcf,0.3094050884246826,16
casabee2,findContours_holes,boosting,8.878694534301758,16
casabee2,findContours_holes,mil,39.48694634437561,16
casabee2,findContours_holes,medianflow,0.7250747680664062,16
casabee2,findContours_holes,mosse,0.060695648193359375,0
casabee3,Hough,csrt,12.022316217422485,13
casabee3,Hough,kcf,0.2699863910675049,13
casabee3,Hough,boosting,6.905561208724976,13
casabee3,Hough,mil,32.7161545753479,13
casabee3,Hough,medianflow,0.5890865325927734,12
casabee3,Hough,mosse,0.05960845947265625,0
casabee3,findContours,csrt,13.488783359527588,13
casabee3,findContours,kcf,0.30652928352355957,13
casabee3,findContours,boosting,6.959531307220459,13
casabee3,findContours,mil,32.964059591293335,13
casabee3,findContours,medianflow,0.5836923122406006,13
casabee3,findContours,mosse,0.059105873107910156,0
casabee3,findContours_holes,csrt,11.542669534683228,13
casabee3,findContours_holes,kcf,0.24097776412963867,13
casabee3,findContours_holes,boosting,6.758404016494751,13
casabee3,findContours_holes,mil,32.82871651649475,13
casabee3,findContours_holes,medianflow,0.5550005435943604,12
casabee3,findContours_holes,mosse,0.05745530128479004,0
casabee4,Hough,csrt,8.37254548072815,9
casabee4,Hough,kcf,0.19509625434875488,9
casabee4,Hough,boosting,4.750668525695801,9
casabee4,Hough,mil,22.3863685131073,9
casabee4,Hough,medianflow,0.44156575202941895,9
casabee4,Hough,mosse,0.05615091323852539,0
casabee4,findContours,csrt,16.62230896949768,13
casabee4,findContours,kcf,0.4001317024230957,13
casabee4,findContours,boosting,6.966140031814575,13
casabee4,findContours,mil,32.30117321014404,13
casabee4,findContours,medianflow,0.5437161922454834,13
casabee4,findContours,mosse,0.060163259506225586,0
casabee4,findContours_holes,csrt,12.386866092681885,13
casabee4,findContours_holes,kcf,0.24352145195007324,13
casabee4,findContours_holes,boosting,6.989420413970947,13
casabee4,findContours_holes,mil,32.44992017745972,13
casabee4,findContours_holes,medianflow,0.6060681343078613,13
casabee4,findContours_holes,mosse,0.0575251579284668,0
casabee5,Hough,csrt,10.918957233428955,11
casabee5,Hough,kcf,0.2481403350830078,11
casabee5,Hough,boosting,6.174068927764893,11
casabee5,Hough,mil,28.253644943237305,11
casabee5,Hough,medianflow,0.5201058387756348,11
casabee5,Hough,mosse,0.05859184265136719,0
casabee5,findContours,csrt,13.019669532775879,12
casabee5,findContours,kcf,0.2770824432373047,12
casabee5,findContours,boosting,6.374975681304932,12
casabee5,findContours,mil,31.02554965019226,12
casabee5,findContours,medianflow,0.6196200847625732,12
casabee5,findContours,mosse,0.0580446720123291,0
casabee5,findContours_holes,csrt,10.742362976074219,12
casabee5,findContours_holes,kcf,0.22813868522644043,12
casabee5,findContours_holes,boosting,6.251140356063843,12
casabee5,findContours_holes,mil,30.971368074417114,12
casabee5,findContours_holes,medianflow,0.5616748332977295,12
casabee5,findContours_holes,mosse,0.05650663375854492,0
circles,Hough,csrt,1.4785759449005127,1
circles,Hough,kcf,0.04773831367492676,1
circles,Hough,boosting,0.5875182151794434,1
circles,Hough,mil,2.256425380706787,1
circles,Hough,medianflow,0.04589724540710449,1
circles,Hough,mosse,0.013184070587158203,0
circles,findContours,csrt,3.549360990524292,3
circles,findContours,kcf,0.1012723445892334,3
circles,findContours,boosting,1.8310351371765137,3
circles,findContours,mil,5.89205527305603,3
circles,findContours,medianflow,0.10131359100341797,3
